
0.0.0	0.7.*	泰国
252.0.0	252.23.*	澳大利亚
252.24.0	252.31.*	台湾省
252.32.0	252.63.*	欧洲
252.64.0	252.127.*	韩国
252.128.0	252.159.*	欧洲
252.160.0	252.175.*	台湾省
252.176.0	252.191.*	柬埔寨
252.192.0	252.223.*	韩国
252.224.0	252.228.*	印度
252.229.0	252.229.*	澳大利亚
252.230.0	252.*.*	印度
253.0.0	253.*.*	日本
254.0.0	254.63.*	台湾省
254.64.0	254.127.*	蒙古
254.128.0	254.*.*	韩国
*.0.0	*.63.*	斯里兰卡
*.64.0	*.71.*	孟加拉国
*.72.0	*.79.*	印度
*.80.0	*.95.*	台湾省
*.96.0	*.127.*	马来西亚
*.128.0	*.191.*	日本
*.192.0	*.*.*	欧洲
